VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV
VV,OO,NN,NN,VV,VV,VV,PP,NN,NN,MM,NN,KK,VV,VV
VV,NN,VV,NN,CC,VV,VV,NN,VV,VV,VV,VV,NN,VV,VV
VV,NN,NN,VV,NN,VV,VV,MM,NN,VV,NN,NN,NN,VV,VV
VV,MM,NN,VV,NN,VV,VV,VV,NN,VV,NN,VV,VV,VV,VV
VV,NN,NN,VV,NN,NN,NN,NN,NN,VV,NN,VV,NN,NN,KK
VV,NN,NN,VV,VV,VV,VV,VV,VV,VV,NN,VV,MM,VV,NN
VV,NN,NN,NN,NN,NN,KK('Fune'),VV,VV,VV,NN,VV,NN,VV,NN
NN,NN,NN,VV,VV,VV,BB,VV,PP('Roccia'),NN,CC,VV,NN,VV,OO
NN,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,NN,VV,NN
MM,VV,VV,VV,NN,NN,NN,VV,NN,VV,NN,NN,PP,VV,MM
NN,NN,PP('Crepaccio'),VV,NN,VV,MM,VV,MB,VV,NN,VV,VV,VV,MM
VV,VV,NN,VV,NN,VV,MM,VV,NN,VV,NN,VV,VV,VV,NN
VV,VV,ZZ,OO,CC,VV,MB,VV,NN,NN,KK('Dinamite'),VV,VV,VV,NN
VV,VV,VV,VV,VV,VV,NN,FF,VV,VV,VV,VV,VV,VV,II
